Id,Label
+ EverAfter,+ EverAfter
- Rounders,- Rounders
+ The Big Chill,+ The Big Chill
+ Lolita,+ Lolita
- Daredevil,- Daredevil
- Old School,- Old School
- Identity,- Identity
- Super Mario Bros.,- Super Mario Bros.
- Welcome to the Dollhouse,- Welcome to the Dollhouse
- Multiplicity,- Multiplicity
- Evita,- Evita
- Anaconda,- Anaconda
- Doctor Zhivago,- Doctor Zhivago
+ Rounders,+ Rounders
- Arlington Road,- Arlington Road
- And Now for Something Completely Different,- And Now for Something Completely Different
- The Bodyguard,- The Bodyguard
- The Time Machine,- The Time Machine
- Insomnia,- Insomnia
- Hulk,- Hulk
- The League of Extraordinary Gentlemen,- The League of Extraordinary Gentlemen
- Team America: World Police,- Team America: World Police
+ Meet the Fockers,+ Meet the Fockers
- Hitch,- Hitch
- Constantine,- Constantine
+ Cinderella Man,+ Cinderella Man
- Corpse Bride,- Corpse Bride
- Munich,- Munich
+ The Apartment,+ The Apartment
+ Rebel Without a Cause,+ Rebel Without a Cause
- Event Horizon,- Event Horizon
+ Doctor Zhivago,+ Doctor Zhivago
- A Simple Plan,- A Simple Plan
+ Pride & Prejudice,+ Pride & Prejudice
+ Up in the Air,+ Up in the Air
+ Drive,+ Drive
+ Prometheus,+ Prometheus
+ Argo,+ Argo
+ Life of Pi,+ Life of Pi
+ Kingsman: The Secret Service,+ Kingsman: The Secret Service
- Powder,- Powder
- Tank Girl,- Tank Girl
- G.I. Jane,- G.I. Jane
+ Sister Act,+ Sister Act
+ Insomnia,+ Insomnia
+ The Village,+ The Village
+ Final Fantasy: The Spirits Within,+ Final Fantasy: The Spirits Within
+ Phone Booth,+ Phone Booth
+ Quantum of Solace,+ Quantum of Solace
+ The Wrestler,+ The Wrestler
- Up in the Air,- Up in the Air
+ Tangled,+ Tangled
+ Moonrise Kingdom,+ Moonrise Kingdom
- Heavy Metal,- Heavy Metal
+ Event Horizon,+ Event Horizon
- The Haunting,- The Haunting
+ Resident Evil,+ Resident Evil
- The Island,- The Island
- Hercules,- Hercules
+ Sleeping Beauty,+ Sleeping Beauty
+ The Color Purple,+ The Color Purple
- Lilo & Stitch,- Lilo & Stitch
+ Identity,+ Identity
- Live Free or Die Hard,- Live Free or Die Hard
+ Sphere,+ Sphere
"- Dude, Where’s My Car?","- Dude, Where’s My Car?"
+ DodgeBall: A True Underdog Story,+ DodgeBall: A True Underdog Story
- The Last King of Scotland,- The Last King of Scotland
+ 3:10 to Yuma,+ 3:10 to Yuma
- X-Men Origins: Wolverine,- X-Men Origins: Wolverine
- Forgetting Sarah Marshall,- Forgetting Sarah Marshall
- Hancock,- Hancock
- Quantum of Solace,- Quantum of Solace
+ The Girl with the Dragon Tattoo,+ The Girl with the Dragon Tattoo
- Prometheus,- Prometheus
+ Under Siege,+ Under Siege
- Excalibur,- Excalibur
- The Running Man,- The Running Man
+ City Slickers,+ City Slickers
+ Spy Game,+ Spy Game
+ The Count of Monte Cristo,+ The Count of Monte Cristo
- Don Juan DeMarco,- Don Juan DeMarco
+ The Treasure of the Sierra Madre,+ The Treasure of the Sierra Madre
- The Color Purple,- The Color Purple
- National Lampoon's Vacation,- National Lampoon's Vacation
- Sister Act,- Sister Act
+ The Time Machine,+ The Time Machine
+ Hercules,+ Hercules
+ Cars,+ Cars
+ The Man in the Iron Mask,+ The Man in the Iron Mask
+ Meet Joe Black,+ Meet Joe Black
- How the Grinch Stole Christmas,- How the Grinch Stole Christmas
- Rush Hour 2,- Rush Hour 2
+ 8 Mile,+ 8 Mile
+ Constantine,+ Constantine
+ The Island,+ The Island
+ Zodiac,+ Zodiac
+ Ocean's Thirteen,+ Ocean's Thirteen
+ The Blind Side,+ The Blind Side
+ Super Mario Bros.,+ Super Mario Bros.
+ G.I. Jane,+ G.I. Jane
+ The Prince of Egypt,+ The Prince of Egypt
+ Blade II,+ Blade II
+ Die Another Day,+ Die Another Day
+ The League of Extraordinary Gentlemen,+ The League of Extraordinary Gentlemen
+ Underworld,+ Underworld
+ Fantastic Four,+ Fantastic Four
+ Spider-Man 3,+ Spider-Man 3
+ Indiana Jones and the Kingdom of the Crystal Skull,+ Indiana Jones and the Kingdom of the Crystal Skull
+ Hancock,+ Hancock
- National Lampoon's Christmas Vacation,- National Lampoon's Christmas Vacation
- A River Runs Through It,- A River Runs Through It
+ The Devil Wears Prada,+ The Devil Wears Prada
+ Roman Holiday,+ Roman Holiday
+ The Bodyguard,+ The Bodyguard
+ Tank Girl,+ Tank Girl
+ Benny & Joon,+ Benny & Joon
+ The Omen,+ The Omen
- The Waterboy,- The Waterboy
+ Falling Down,+ Falling Down
+ Jay and Silent Bob Strike Back,+ Jay and Silent Bob Strike Back
+ Red Dragon,+ Red Dragon
- The Devil Wears Prada,- The Devil Wears Prada
- Sweeney Todd: The Demon Barber of Fleet Street,- Sweeney Todd: The Demon Barber of Fleet Street
- Burn After Reading,- Burn After Reading
+ X-Men Origins: Wolverine,+ X-Men Origins: Wolverine
+ Zootopia,+ Zootopia
+ I.Q.,+ I.Q.
+ The Lawnmower Man,+ The Lawnmower Man
+ Evita,+ Evita
- A Knight's Tale,- A Knight's Tale
+ Daredevil,+ Daredevil
- Before Sunrise,- Before Sunrise
- Dante's Peak,- Dante's Peak
- EverAfter,- EverAfter
+ The Bone Collector,+ The Bone Collector
- The Beach,- The Beach
- What Lies Beneath,- What Lies Beneath
- Zodiac,- Zodiac
- I.Q.,- I.Q.
- Reality Bites,- Reality Bites
- Benny & Joon,- Benny & Joon
- Lolita,- Lolita
- Under Siege 2: Dark Territory,- Under Siege 2: Dark Territory
+ Before Sunrise,+ Before Sunrise
- Resident Evil,- Resident Evil
- About Schmidt,- About Schmidt
- Underworld,- Underworld
- Meet the Fockers,- Meet the Fockers
- Pride & Prejudice,- Pride & Prejudice
+ The Last King of Scotland,+ The Last King of Scotland
- Indiana Jones and the Kingdom of the Crystal Skull,- Indiana Jones and the Kingdom of the Crystal Skull
- The Blind Side,- The Blind Side
- Kingsman: The Secret Service,- Kingsman: The Secret Service
+ Star Trek V: The Final Frontier,+ Star Trek V: The Final Frontier
- Thor,- Thor
- Captain America: The First Avenger,- Captain America: The First Avenger
+ Hitch,+ Hitch
+ Under Siege 2: Dark Territory,+ Under Siege 2: Dark Territory
+ Hulk,+ Hulk
- Cinderella Man,- Cinderella Man
- The Curse of the Were-Rabbit,- The Curse of the Were-Rabbit
- Stardust,- Stardust
- Robin Hood,- Robin Hood
- The Girl with the Dragon Tattoo,- The Girl with the Dragon Tattoo
"+ The Karate Kid, Part II","+ The Karate Kid, Part II"
- She's All That,- She's All That
- Rise of the Planet of the Apes,- Rise of the Planet of the Apes
+ Dante's Peak,+ Dante's Peak
+ Patch Adams,+ Patch Adams
+ Finding Forrester,+ Finding Forrester
- Kiss Kiss Bang Bang,- Kiss Kiss Bang Bang
+ The Waterboy,+ The Waterboy
+ Scream 3,+ Scream 3
- Tangled,- Tangled
+ Multiplicity,+ Multiplicity
+ The First Wives Club,+ The First Wives Club
- Fletch,- Fletch
- Falling Down,- Falling Down
+ The Rocketeer,+ The Rocketeer
- Notorious,- Notorious
- Iron Man 3,- Iron Man 3
- Captain America: The Winter Soldier,- Captain America: The Winter Soldier
- Charlotte's Web,- Charlotte's Web
- Scream 2,- Scream 2
"+ Dude, Where’s My Car?","+ Dude, Where’s My Car?"
+ Mission to Mars,+ Mission to Mars
- Duck Soup,- Duck Soup
- Ocean's Thirteen,- Ocean's Thirteen
